Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001 - polya	(1, 0.01172950264454294)	(2, 0.015857514038151898)	(3, 0.017694665054767057)	(4, 0.020226016185622763)	(5, 0.022271427236510086)	(6, 0.02392263179395367)	(7, 0.025826723535870597)	(8, 0.031189419418378814)	(9, 0.038002497682425314)	(10, 0.045411844258882)	(12, 0.050237774695914936)	(14, 0.056571111095298776)	(16, 0.06374864441932156)	(18, 0.07234308976223175)	(20, 0.07977227062766673)	(22, 0.09128607537957065)	(24, 0.11451946563152834)	(26, 0.12509610022920753)	(28, 0.13405376098903285)	(30, 0.14314282391333943)	(32, 0.15604626853678558)	(34, 0.16963895470222767)	(36, 0.1810511087231178)	(38, 0.1904575202710772)	(40, 0.19866147804972709)	(42, 0.20760302344975756)	(44, 0.2156594637041313)	(46, 0.2236068153691244)	(48, 0.23148102809351004)	(50, 0.23867839570651112)	(52, 0.24628608517275083)	(54, 0.2549561487423908)	(56, 0.2633125826175614)	(58, 0.27258139378573376)	(60, 0.28292869441710133)	(62, 0.294121431616169)	(64, 0.30525838487748524)	(66, 0.32584513719390085)	(68, 0.34018408848215154)	(70, 0.35485030553854424)	(72, 0.3671314493452962)	(74, 0.377489906764214)	(76, 0.38721738586500964)	(78, 0.39655685668766727)	(80, 0.40578971820706655)	(82, 0.4152717479817557)	(84, 0.42415503015791245)	(86, 0.4324879108149213)	(88, 0.44032493424747254)	(90, 0.4482078244732862)	(92, 0.45577584536156934)	(94, 0.4632657687370003)	(96, 0.471571377246664)	(98, 0.47967864286654466)	(100, 0.48882596901472497)	(102, 0.4974067782839626)	(104, 0.5085610865481348)	(106, 0.5185662456946267)	(108, 0.5286978484333552)	(110, 0.5378736863719419)	(112, 0.5478143840792542)	(114, 0.562076477497714)	(116, 0.5729940139372078)	(118, 0.5831355338204255)	(120, 0.5948166903855838)	(122, 0.6072329552860004)	(124, 0.6192190640442001)	(126, 0.6313316163946365)	(128, 0.6465172438936484)	(130, 0.6637743149478317)	(132, 0.6811565899511905)	(134, 0.6953951301514887)	(136, 0.7083419622820748)	(138, 0.7170442565713044)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001 - polyg	(1, 0.04188753903605009)	(2, 0.04263132487273638)	(3, 0.04287181562659829)	(4, 0.04311974423882706)	(5, 0.04332304570085464)	(6, 0.043513950732270795)	(7, 0.04366518718573034)	(8, 0.04393295008693741)	(9, 0.04422550584936735)	(10, 0.045135403856246925)	(12, 0.046423392996775364)	(14, 0.0469080934336826)	(16, 0.04732709278834922)	(18, 0.047687828919142077)	(20, 0.048214677220128205)	(22, 0.04871177408764688)	(24, 0.049141930229863795)	(26, 0.04967001817391106)	(28, 0.05014232218020686)	(30, 0.050635700118542105)	(32, 0.05127287665197004)	(34, 0.0518431124600962)	(36, 0.05251128007005272)	(38, 0.05338398878509798)	(40, 0.05470172935909388)	(42, 0.05582608561555133)	(44, 0.057003746523637974)	(46, 0.05851487141517231)	(48, 0.059993765587116894)	(50, 0.06171562979904568)	(52, 0.06358625117831172)	(54, 0.06538745254615372)	(56, 0.06725435499623632)	(58, 0.06932579855140766)	(60, 0.07095716881987293)	(62, 0.07214102794326531)	(64, 0.07318232811462612)	(66, 0.07399057539049189)	(68, 0.07480006230941882)	(70, 0.07559963208385659)	(72, 0.07640663971666123)	(74, 0.07764256384862163)	(76, 0.07919211767505142)	(78, 0.0807553075751538)	(80, 0.08284286649012002)	(82, 0.08501100220406058)	(84, 0.08809895306936985)	(86, 0.0920596126497244)	(88, 0.09748057175610637)	(90, 0.10108545377791264)	(92, 0.10586303813556097)	(94, 0.11040385066853083)	(96, 0.11322651791875533)	(98, 0.11603926802449069)	(100, 0.11874416918390653)	(102, 0.12161518251351564)	(104, 0.12367918821032012)	(106, 0.12536014420123115)	(108, 0.12721588986376348)	(110, 0.12916708804200389)	(112, 0.1308641593927098)	(114, 0.13237280499812182)	(116, 0.13430292924432277)	(118, 0.1367921325110996)	(120, 0.1386429196013873)	(122, 0.1402061095014897)	(124, 0.1417581426140418)	(126, 0.14300026496130788)	(128, 0.14397338476430582)	(130, 0.14482006097506703)	(132, 0.14555888823950874)	(134, 0.14641920052394258)	(136, 0.1474183528312245)	(138, 0.1492282317004945)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001 - polya	(1, 0.0031984063362125877)	(2, 0.006770011483111505)	(3, 0.009709337653227798)	(4, 0.01183749616044736)	(5, 0.013802187420010926)	(6, 0.01548620849963684)	(7, 0.017598945568398288)	(8, 0.020880627672284685)	(9, 0.026645161367927238)	(10, 0.03400118751244703)	(12, 0.038730942687550216)	(14, 0.04460805288393699)	(16, 0.05044352519648686)	(18, 0.05581789649913916)	(20, 0.06272207449683626)	(22, 0.06940881021227394)	(24, 0.07572543140471694)	(26, 0.08166268521109035)	(28, 0.0876323240382258)	(30, 0.09429746973982214)	(32, 0.10082073820760384)	(34, 0.10640638321713228)	(36, 0.11275230514264568)	(38, 0.11937889724809674)	(40, 0.1256939762966939)	(42, 0.13197975461222067)	(44, 0.1375453517517536)	(46, 0.14315258677512338)	(48, 0.1485840174000707)	(50, 0.1535065405559003)	(52, 0.15869431245320942)	(54, 0.1642568253050507)	(56, 0.1695911008677119)	(58, 0.17483130565577862)	(60, 0.17966438446855115)	(62, 0.18442960895210803)	(64, 0.18971607805554908)	(66, 0.19478510487673073)	(68, 0.20013325973400425)	(70, 0.20552459461896044)	(72, 0.2104779606517063)	(74, 0.21512289791528985)	(76, 0.2201780454418592)	(78, 0.22569892040986358)	(80, 0.23137092547475746)	(82, 0.2367884768050925)	(84, 0.24184208218781603)	(86, 0.24657029521907342)	(88, 0.2518182107263692)	(90, 0.25732674854360704)	(92, 0.2627011198462593)	(94, 0.26811712903274854)	(96, 0.27366730473382334)	(98, 0.2794595970186905)	(100, 0.2857793024988251)	(102, 0.2915268726121637)	(104, 0.2970153625594061)	(106, 0.30306827715421536)	(108, 0.30890374946676524)	(110, 0.314535658791668)	(112, 0.3201027980750467)	(114, 0.3259151382299094)	(116, 0.33251859817767326)	(118, 0.3385098270186501)	(120, 0.34480794248494334)	(122, 0.35153940037190956)	(124, 0.35863326206264146)	(126, 0.3659723246248573)	(128, 0.374244384213789)	(130, 0.381844069085947)	(132, 0.3886372127267457)	(134, 0.3970233909602674)	(136, 0.4054388699268595)	(138, 0.4103089601919315)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002590801660962945)	(4, 0.0005397503460339468)	(5, 0.0009160334444118984)	(6, 0.0013262437073976979)	(7, 0.001705611093467272)	(8, 0.0022885414671839346)	(9, 0.003232333500820436)	(10, 0.005163097595776154)	(12, 0.0071987274722470395)	(14, 0.008862700681877406)	(16, 0.010566769631498867)	(18, 0.012414257958780778)	(20, 0.01424169841606714)	(22, 0.015847070159556678)	(24, 0.017396924724597015)	(26, 0.018943695001945725)	(28, 0.02028998657933897)	(30, 0.021398788004477275)	(32, 0.023295624934825145)	(34, 0.02519863044055626)	(36, 0.026796291464816744)	(38, 0.02809477658298984)	(40, 0.029363960968092517)	(42, 0.030660903942419805)	(44, 0.031817511826778264)	(46, 0.033122165520334604)	(48, 0.03455019072155584)	(50, 0.03640693191191262)	(52, 0.03842097177454215)	(54, 0.04114593995009067)	(56, 0.04271275809743493)	(58, 0.0442271433540216)	(60, 0.04593892302287213)	(62, 0.047445597560229744)	(64, 0.048870538473759356)	(66, 0.05038338158650022)	(68, 0.05228947137992296)	(70, 0.053942649582632646)	(72, 0.055480166996906485)	(74, 0.05725363241958946)	(76, 0.059025555698426616)	(78, 0.06063863816114522)	(80, 0.06266964160607866)	(82, 0.06447240776183205)	(84, 0.06623970460913177)	(86, 0.0678867142364582)	(88, 0.06934249802690405)	(90, 0.07070266889890961)	(92, 0.0723296306562405)	(94, 0.07406300033893237)	(96, 0.0760215230231127)	(98, 0.07761609975968156)	(100, 0.07958541745078257)	(102, 0.08194798182256544)	(104, 0.08426582402281978)	(106, 0.0871804758914031)	(108, 0.09040047224145704)	(110, 0.09317478902007154)	(112, 0.09644876040472886)	(114, 0.100541610171512)	(116, 0.10325886762783146)	(118, 0.1061210866056572)	(120, 0.10924547003727084)	(122, 0.11224648196121959)	(124, 0.11536161252975836)	(126, 0.11835182944678643)	(128, 0.12102436473157738)	(130, 0.12357969708408666)	(132, 0.12587903355819127)	(134, 0.12846212449992517)	(136, 0.1310405890101216)	(138, 0.1336498963972343)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001 - polya	(1, 0.009629146173245612)	(2, 0.013546191541606254)	(3, 0.015276476936606507)	(4, 0.01754959696533233)	(5, 0.01951737251258752)	(6, 0.021315512236803467)	(7, 0.023218517742534583)	(8, 0.028400121064460472)	(9, 0.034454577803115546)	(10, 0.041946312606066724)	(12, 0.04671307923346939)	(14, 0.052358867852984464)	(16, 0.05948974099601581)	(18, 0.06784199206492969)	(20, 0.07496515448873198)	(22, 0.08707715225373375)	(24, 0.10923313288650435)	(26, 0.11875587113438899)	(28, 0.1277974605023805)	(30, 0.13705186572109396)	(32, 0.14901735982074366)	(34, 0.1630662902560844)	(36, 0.1729005415608229)	(38, 0.18218424751260678)	(40, 0.19088193880298238)	(42, 0.19993740746558622)	(44, 0.2078964118538182)	(46, 0.21531258160832464)	(48, 0.2236663748210843)	(50, 0.23176263001159353)	(52, 0.23987122235286923)	(54, 0.24919039761310677)	(56, 0.2596230007300201)	(58, 0.27276977701556115)	(60, 0.29017132817169566)	(62, 0.31197724215146705)	(64, 0.3276623872072136)	(66, 0.39966662551198795)	(68, 0.43261452877774587)	(70, 0.4560628259533063)	(72, 0.47220907201895035)	(74, 0.48264630156740107)	(76, 0.4921536183768276)	(78, 0.5014943836509065)	(80, 0.5113301770994908)	(82, 0.5213201849326563)	(84, 0.5304712665137004)	(86, 0.5382004914689065)	(88, 0.5457847549026064)	(90, 0.5536913264000808)	(92, 0.5608237416869579)	(94, 0.568283091469147)	(96, 0.5763870573788853)	(98, 0.584267412430981)	(100, 0.593705332767346)	(102, 0.6019326701847492)	(104, 0.6131070444914977)	(106, 0.622853393597025)	(108, 0.6330176636847671)	(110, 0.6418896172297193)	(112, 0.6514154397652956)	(114, 0.6661259499104893)	(116, 0.6769780161534633)	(118, 0.6866040780390172)	(120, 0.6981979154718265)	(122, 0.7107062442052017)	(124, 0.7234088830631493)	(126, 0.7353481607174202)	(128, 0.7504395803925292)	(130, 0.768174234619359)	(132, 0.7856698565500879)	(134, 0.7998005206092567)	(136, 0.8128270096748245)	(138, 0.8219657541051021)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001 - polyg	(1, 0.04446309136243073)	(2, 0.04528351188840233)	(3, 0.0455672663560316)	(4, 0.04580167222059492)	(5, 0.04595588660517604)	(6, 0.046122438140523664)	(7, 0.04631366397740426)	(8, 0.04656657556811731)	(9, 0.04685033003574659)	(10, 0.047724725596321585)	(12, 0.04893530851528344)	(14, 0.0494642638543967)	(16, 0.04986830554199925)	(18, 0.05027388937344762)	(20, 0.05085527760331847)	(22, 0.051341052914749025)	(24, 0.05177747962311362)	(26, 0.05223395420147375)	(28, 0.052678091629067406)	(30, 0.05321629983125553)	(32, 0.05384395237650073)	(34, 0.05443921990098388)	(36, 0.05520258110466046)	(38, 0.05608006095292707)	(40, 0.05738008821494599)	(42, 0.05842411959856022)	(44, 0.05950516243447392)	(46, 0.06094398264261584)	(48, 0.06233191210384599)	(50, 0.0639866324504015)	(52, 0.06577551931154257)	(54, 0.06756132188499203)	(56, 0.06932245015690851)	(58, 0.0710989998672831)	(60, 0.07254707293849988)	(62, 0.07372835512439133)	(64, 0.07480168724107597)	(66, 0.0756945885278007)	(68, 0.07655202050607177)	(70, 0.07729070740821538)	(72, 0.07807874291342494)	(74, 0.07945279308004279)	(76, 0.08115994631735587)	(78, 0.08282546167083205)	(80, 0.08488113941729847)	(82, 0.08706481510296725)	(84, 0.09001493628000422)	(86, 0.09351560280999582)	(88, 0.09837644021199296)	(90, 0.10165195374049613)	(92, 0.10602855797490851)	(94, 0.110085938433238)	(96, 0.11289880880799776)	(98, 0.11556825980509708)	(100, 0.11817602504836394)	(102, 0.12074523669548554)	(104, 0.12272843368119885)	(106, 0.12455895842617681)	(108, 0.12629078596502288)	(110, 0.1282354293545909)	(112, 0.12997959404420345)	(114, 0.13144308855387837)	(116, 0.13338618979960054)	(118, 0.13586287281597348)	(120, 0.13765484396480618)	(122, 0.1390828691660274)	(124, 0.1404893043534073)	(126, 0.14170451370390658)	(128, 0.14267914861445932)	(130, 0.1435134484350432)	(132, 0.14422591889180802)	(134, 0.14511573589084115)	(136, 0.14616902013753025)	(138, 0.1479286062656009)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001 - polya	(1, 0.004697061199732466)	(2, 0.008312975975015699)	(3, 0.012429555873030454)	(4, 0.01474422506362982)	(5, 0.016577578508221585)	(6, 0.018147296694949893)	(7, 0.02030717087175787)	(8, 0.023318417624418487)	(9, 0.029103881264871657)	(10, 0.03643608570719348)	(12, 0.041254080511450464)	(14, 0.04754020927463516)	(16, 0.05377312725182907)	(18, 0.05944733197611968)	(20, 0.06607691217615402)	(22, 0.07283951934116534)	(24, 0.07925141905305554)	(26, 0.08531865799205084)	(28, 0.09120086851612363)	(30, 0.09784133274056517)	(32, 0.10432700195121533)	(34, 0.10999757866737021)	(36, 0.1163526395851339)	(38, 0.12306808264438063)	(40, 0.12952593712599014)	(42, 0.135906394100704)	(44, 0.14140645443447927)	(46, 0.14743257594793624)	(48, 0.1534260453881716)	(50, 0.15866488913617394)	(52, 0.1641129480200037)	(54, 0.16977264071175135)	(56, 0.17521102490721913)	(58, 0.18070382922472294)	(60, 0.18603821052029967)	(62, 0.19138347584028356)	(64, 0.19689925754264703)	(66, 0.20207642515234187)	(68, 0.20745555188159265)	(70, 0.21308742984429968)	(72, 0.21808561571929821)	(74, 0.22322892191972615)	(76, 0.22812189555878837)	(78, 0.2332942258243022)	(80, 0.2388958703858781)	(82, 0.2444152800963773)	(84, 0.24955858629680527)	(86, 0.254380209109198)	(88, 0.2599322708929188)	(90, 0.26564517437065727)	(92, 0.27152133821450386)	(94, 0.27768653337316407)	(96, 0.2839774994805297)	(98, 0.29025758156348813)	(100, 0.2986842351267569)	(102, 0.30724391565500264)	(104, 0.3136195352855355)	(106, 0.3215406863818917)	(108, 0.3294545814619765)	(110, 0.33648324255694173)	(112, 0.34298826114431585)	(114, 0.35001329423114536)	(116, 0.35938927658993164)	(118, 0.3678703502752364)	(120, 0.37693795194248514)	(122, 0.38647840400342476)	(124, 0.39687385664835273)	(126, 0.40853548413265245)	(128, 0.42232433372053857)	(130, 0.4347212375203474)	(132, 0.44480589080164734)	(134, 0.45854757628376885)	(136, 0.47252991963889424)	(138, 0.480626424461811)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005393638761793717)	(4, 0.0008344418712192073)	(5, 0.0012311040940596422)	(6, 0.0016664650703479243)	(7, 0.0020824766699122825)	(8, 0.0026411899228155782)	(9, 0.003412746319682034)	(10, 0.004757528001994728)	(12, 0.006381666310759069)	(14, 0.008258555852979662)	(16, 0.009996371749997054)	(18, 0.011618091386670906)	(20, 0.013447816823126936)	(22, 0.01501269766567426)	(24, 0.016352642003805977)	(26, 0.01757769941763939)	(28, 0.018839036912830162)	(30, 0.020014511548808525)	(32, 0.021832143624812103)	(34, 0.02381182673087854)	(36, 0.025458942424502543)	(38, 0.026850888212579797)	(40, 0.028213809935571172)	(42, 0.02955254493765764)	(44, 0.03073527558990747)	(46, 0.03211029067335129)	(48, 0.03348772442888561)	(50, 0.03542266210127798)	(52, 0.03740960122361588)	(54, 0.03960817415387171)	(56, 0.041176683004554765)	(58, 0.04254202339963663)	(60, 0.04400290134229287)	(62, 0.04555327015229725)	(64, 0.047152012404111446)	(66, 0.04861530901885817)	(68, 0.050639737558598685)	(70, 0.052239689146458115)	(72, 0.05377312725182906)	(74, 0.055601643352239855)	(76, 0.05740234472361)	(78, 0.05907727514627464)	(80, 0.06105212090816009)	(82, 0.06285282227953023)	(84, 0.06461240622536205)	(86, 0.06628854598407194)	(88, 0.06786431085102647)	(90, 0.06944612239820722)	(92, 0.07098439784775915)	(94, 0.07295682493755412)	(96, 0.0751275831387693)	(98, 0.07691981915782273)	(100, 0.07902164520445894)	(102, 0.08133631439505831)	(104, 0.08383238399244446)	(106, 0.0872402929679455)	(108, 0.09134477950550782)	(110, 0.09486999407739766)	(112, 0.09907243683462483)	(114, 0.1041843002978764)	(116, 0.1072862472539304)	(118, 0.11040149690648211)	(120, 0.11372596169486125)	(122, 0.11691739951826341)	(124, 0.12066392258643313)	(126, 0.12351432764507612)	(128, 0.12641068747343845)	(130, 0.1293263966785247)	(132, 0.13181883826777513)	(134, 0.13457733378697948)	(136, 0.13729833988878123)	(138, 0.1400519980638046)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001 - polya	(1, 0.01781835729064319)	(2, 0.0229096620411256)	(3, 0.025161445757372215)	(4, 0.027916313268440844)	(5, 0.030441406930912882)	(6, 0.03255532633800154)	(7, 0.03475631794034786)	(8, 0.040633691120239665)	(9, 0.048308137663365884)	(10, 0.05737452999456935)	(12, 0.06342483822893123)	(14, 0.07069778520503603)	(16, 0.07892731699292982)	(18, 0.08875680036868303)	(20, 0.09729592218415958)	(22, 0.11149231801929331)	(24, 0.14816785226344534)	(26, 0.16600072158663148)	(28, 0.17845446418056682)	(30, 0.19013302236950003)	(32, 0.22258434580761044)	(34, 0.2575571349000572)	(36, 0.2714814301250108)	(38, 0.2852521396722182)	(40, 0.2961494667759229)	(42, 0.30683516007170974)	(44, 0.31615793164450523)	(46, 0.32539121234995255)	(48, 0.33646873052439885)	(50, 0.34785946673456364)	(52, 0.35873502578945393)	(54, 0.3710436480579599)	(56, 0.3857443370239609)	(58, 0.4074011269222124)	(60, 0.43913168607735675)	(62, 0.4838880037758374)	(64, 0.5112564878157821)	(66, 0.6766452853635195)	(68, 0.7410448484449184)	(70, 0.7813701588736205)	(72, 0.8054057127728694)	(74, 0.8180420651096368)	(76, 0.829207864815386)	(78, 0.8404692020687097)	(80, 0.8520715720867923)	(82, 0.863505844394586)	(84, 0.8739182277441473)	(86, 0.8832228592762641)	(88, 0.8920824551437307)	(90, 0.90075823193232)	(92, 0.909057905210838)	(94, 0.9177457753598797)	(96, 0.9268049116748116)	(98, 0.9359233054559607)	(100, 0.9462969900520743)	(102, 0.9556161336167339)	(104, 0.9678376836899822)	(106, 0.9787773375552706)	(108, 0.9901209096596708)	(110, 1.0002829604478665)	(112, 1.0111790782155259)	(114, 1.0267541171422394)	(116, 1.0381218759675446)	(118, 1.049230836879167)	(120, 1.0621332431458885)	(122, 1.075559291920201)	(124, 1.0890385514805043)	(126, 1.1021997556609082)	(128, 1.118216202244136)	(130, 1.1366476929097185)	(132, 1.1552509092937258)	(134, 1.1707437133693623)	(136, 1.1845954484316013)	(138, 1.1941129231076812)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001 - polyg	(1, 0.10334985842665718)	(2, 0.10412867083979511)	(3, 0.10444309821155888)	(4, 0.10475026956705116)	(5, 0.10498488075982874)	(6, 0.10521949195260631)	(7, 0.10549522057092223)	(8, 0.10579997325432403)	(9, 0.10620147282134544)	(10, 0.10774458561507835)	(12, 0.11015962969743306)	(14, 0.11095416347915918)	(16, 0.11143426988912154)	(18, 0.11192405098744586)	(20, 0.11241141341367969)	(22, 0.11291691588059219)	(24, 0.11347804780558599)	(26, 0.11406820379566565)	(28, 0.11454710086958275)	(30, 0.11512879150734572)	(32, 0.1158181130531355)	(34, 0.11647236385361316)	(36, 0.1172995497085609)	(38, 0.11834199737956227)	(40, 0.11973394316763954)	(42, 0.1209759312861064)	(44, 0.1222650835103378)	(46, 0.12378763759130154)	(48, 0.12533679706526069)	(50, 0.127222151959798)	(52, 0.12916555498450707)	(54, 0.13098802440469165)	(56, 0.13278267909583555)	(58, 0.13464989394969418)	(60, 0.13624984553755362)	(62, 0.13767686207094298)	(64, 0.1388644300673738)	(66, 0.1397871534698959)	(68, 0.14067480612710592)	(70, 0.14143426916351992)	(72, 0.14225419900219619)	(74, 0.14348651243230107)	(76, 0.14512153476547263)	(78, 0.14664650751852687)	(80, 0.148698750787308)	(82, 0.15100011728140966)	(84, 0.1548494339134252)	(86, 0.1601209297346492)	(88, 0.16721005763187669)	(90, 0.1713871043321537)	(92, 0.1767746964137212)	(94, 0.1820171681698593)	(96, 0.18528963150829286)	(98, 0.18826459817959612)	(100, 0.1911621673440037)	(102, 0.19414197135948794)	(104, 0.1964167324605942)	(106, 0.19835167013298657)	(108, 0.20023097834729764)	(110, 0.20227838427189782)	(112, 0.20420969393615446)	(114, 0.2057322480171182)	(116, 0.20776756058126591)	(118, 0.21040149448781004)	(120, 0.21227838403003063)	(122, 0.21384568354466843)	(124, 0.2153343762163653)	(126, 0.21668883258703997)	(128, 0.21775062963476527)	(130, 0.21865521299660873)	(132, 0.21945458412251578)	(134, 0.22040754092616904)	(136, 0.2214596632855324)	(138, 0.2234332997113726)
Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R1_001 - polya	(1, 0.004573783206426265)	(2, 0.008235343723482193)	(3, 0.011179795848616442)	(4, 0.013371664255020165)	(5, 0.015218915200995093)	(6, 0.016736752398030734)	(7, 0.01878671949719907)	(8, 0.021992168669569833)	(9, 0.02782025807388031)	(10, 0.03496853642586285)	(12, 0.039701958602928925)	(14, 0.0461850745772456)	(16, 0.05221714711070694)	(18, 0.05808197881778372)	(20, 0.06518971393912758)	(22, 0.07212767428217196)	(24, 0.07838526853606098)	(26, 0.08433878856015986)	(28, 0.09036832714170628)	(30, 0.09745579064773083)	(32, 0.10397184799694142)	(34, 0.10993296987678507)	(36, 0.11626404873620669)	(38, 0.12305123894031347)	(40, 0.12964711577484397)	(42, 0.13597185975447829)	(44, 0.14157569441431855)	(46, 0.14742278845799092)	(48, 0.15330535782847213)	(50, 0.15848348856660624)	(52, 0.16375030762176246)	(54, 0.1694010203920287)	(56, 0.17459688879356725)	(58, 0.18017284998234342)	(60, 0.18543966903749964)	(62, 0.19074069644350727)	(64, 0.1966029941986691)	(66, 0.20195976854680492)	(68, 0.20725572804898273)	(70, 0.2128253543579716)	(72, 0.21793760234631784)	(74, 0.22273564029721432)	(76, 0.2279606491457744)	(78, 0.2336835795456158)	(80, 0.2399044314967385)	(82, 0.24557921681019645)	(84, 0.2506635913274786)	(86, 0.25575556770050556)	(88, 0.2610667309141728)	(90, 0.2666274883914595)	(92, 0.2723364820557688)	(94, 0.27864095442008385)	(96, 0.28407121337375224)	(98, 0.2894723318803991)	(100, 0.2961695667915263)	(102, 0.30228779369009484)	(104, 0.3078244786241898)	(106, 0.3138400804702042)	(108, 0.32004699568579487)	(110, 0.3260106515175534)	(112, 0.3318311390661191)	(114, 0.33779986280170754)	(116, 0.3448708556202851)	(118, 0.35145279571928356)	(120, 0.3581690352697726)	(122, 0.36564165946686467)	(124, 0.37366161727757885)	(126, 0.3820604008995732)	(128, 0.3915348471094501)	(130, 0.4000958036539992)	(132, 0.40764951431236857)	(134, 0.4173013371562897)	(136, 0.42676438058254945)	(138, 0.4325962709147323)
Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002280556723425838)	(4, 0.0004561113446851676)	(5, 0.0008488738914973953)	(6, 0.0012086950634156942)	(7, 0.0016039915621428396)	(8, 0.0022172079255528983)	(9, 0.0030787515766248813)	(10, 0.004400207500254409)	(12, 0.006142299441760257)	(14, 0.007998419219437397)	(16, 0.009635352156474167)	(18, 0.011366041314362887)	(20, 0.013313383360977059)	(22, 0.014946515370141453)	(24, 0.016402270745261613)	(26, 0.01779974522633867)	(28, 0.01939993586060913)	(30, 0.020841754500197242)	(32, 0.02296393922894073)	(34, 0.025364858668325156)	(36, 0.027193104974938202)	(38, 0.028656462205803115)	(40, 0.030019728336028784)	(42, 0.03145647907178706)	(44, 0.03274499362052266)	(46, 0.03416907459670635)	(48, 0.03570845038501879)	(50, 0.03759497758567494)	(52, 0.03979444784782342)	(54, 0.04166957226486244)	(56, 0.04301636770764114)	(58, 0.04438090081382427)	(60, 0.04599629515958424)	(62, 0.04777006150002655)	(64, 0.049467809283021344)	(66, 0.05088428840346028)	(68, 0.052748010036882176)	(70, 0.05451290754562228)	(72, 0.056068754021381687)	(74, 0.05793627658267596)	(76, 0.05940723566928563)	(78, 0.060951679361427896)	(80, 0.06284960934570118)	(82, 0.06465631706103742)	(84, 0.06664800326616266)	(86, 0.06819498091021986)	(88, 0.06970394927555329)	(90, 0.07127119853492983)	(92, 0.07270668229473064)	(94, 0.07453366162538623)	(96, 0.07650761016710703)	(98, 0.0780241803881852)	(100, 0.07993984803586292)	(102, 0.08206329974056387)	(104, 0.0843565262235643)	(106, 0.08735799226678419)	(108, 0.09073575016936936)	(110, 0.09367513439067376)	(112, 0.09703388765389703)	(114, 0.1014112895869172)	(116, 0.10415175858290057)	(118, 0.10710634651569449)	(120, 0.11006980328019061)	(122, 0.1129395038238348)	(124, 0.11616649158748235)	(126, 0.1189361010304873)	(128, 0.12177286019923754)	(130, 0.12455387242585961)	(132, 0.12685470076460478)	(134, 0.12935824525654338)	(136, 0.132060704973803)	(138, 0.13497474967595824)
